         88129 function calls (86995 primitive calls) in 0.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.093    0.093    0.093    0.093 {method '_train' of '_catboost._CatBoost' objects}
       22    0.042    0.002    0.042    0.002 basic.py:3831(update)
       42    0.012    0.000    0.014    0.000 core.py:2029(update)
       44    0.007    0.000    0.007    0.000 basic.py:4834(__inner_eval)
      810    0.002    0.000    0.004    0.000 core.py:96(from_cstr_to_pystr)
        2    0.002    0.001    0.002    0.001 basic.py:2201(__init_from_np2d)
       42    0.002    0.000    0.006    0.000 core.py:2091(eval_set)
      354    0.001    0.000    0.003    0.000 __init__.py:339(__init__)
        5    0.001    0.000    0.002    0.000 {method '_init_pool' of '_catboost._PoolBase' objects}
8338/8285    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
        4    0.001    0.000    0.003    0.001 core.py:1635(__init__)
        8    0.001    0.000    0.001    0.000 data.py:195(_from_numpy_array)
      540    0.001    0.000    0.004    0.000 core.py:1941(_get_feature_info)
      225    0.001    0.000    0.003    0.000 validation.py:718(check_array)
        2    0.001    0.000    0.001    0.000 core.py:1756(__getstate__)
     4488    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      195    0.001    0.000    0.001    0.000 arraysetops.py:323(_unique1d)
        1    0.001    0.001    0.001    0.001 {method '_calc_fstr' of '_catboost._CatBoost' objects}
4656/4651    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     3540    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     4937    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.003    0.003 basic.py:3366(__init__)
       78    0.001    0.000    0.005    0.000 multiclass.py:228(type_of_target)
        6    0.000    0.000    0.001    0.000 core.py:2176(predict)
  358/125    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      354    0.000    0.000    0.000    0.000 __init__.py:520(_cmpkey)
      354    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       44    0.000    0.000    0.002    0.000 series.py:389(__init__)
      950    0.000    0.000    0.000    0.000 core.py:419(c_str)
2377/1951    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 basic.py:1235(__inner_predict_np2d)
     1956    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
      207    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      422    0.000    0.000    0.001    0.000 warnings.py:182(_add_filter)
      831    0.000    0.000    0.000    0.000 _array_api.py:272(__getattr__)
      129    0.000    0.000    0.003    0.000 data.py:368(is_pd_cat_dtype)
      138    0.000    0.000    0.001    0.000 core.py:1269(feature_names)
     1416    0.000    0.000    0.000    0.000 __init__.py:348(<genexpr>)
     1964    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     4690    0.000    0.000    0.000    0.000 typing.py:2132(cast)
       88    0.000    0.000    0.000    0.000 core.py:424(c_array)
      154    0.000    0.000    0.001    0.000 _dtype.py:346(_name_get)
       78    0.000    0.000    0.001    0.000 multiclass.py:128(is_multilabel)
        3    0.000    0.000    0.000    0.000 {method '_base_predict' of '_catboost._CatBoost' objects}
        1    0.000    0.000    0.000    0.000 basic.py:4229(model_from_string)
      132    0.000    0.000    0.001    0.000 core.py:1339(feature_types)
        2    0.000    0.000    0.000    0.000 core.py:2627(num_boosted_rounds)
       53    0.000    0.000    0.001    0.000 construction.py:517(sanitize_array)
       13    0.000    0.000    0.000    0.000 __init__.py:49(create_string_buffer)
      132    0.000    0.000    0.006    0.000 core.py:2923(_assign_dmatrix_features)
      573    0.000    0.000    0.000    0.000 _config.py:32(get_config)
      906    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      422    0.000    0.000    0.001    0.000 warnings.py:166(simplefilter)
       91    0.000    0.000    0.000    0.000 generic.py:278(__init__)
      294    0.000    0.000    0.001    0.000 _array_api.py:501(_asarray_with_order)
        1    0.000    0.000    0.054    0.054 engine.py:43(train)
      422    0.000    0.000    0.000    0.000 warnings.py:482(__enter__)
       18    0.000    0.000    0.003    0.000 multiclass.py:43(unique_labels)
      422    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       25    0.000    0.000    0.000    0.000 managers.py:1012(iget)
      971    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       97    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      422    0.000    0.000    0.000    0.000 warnings.py:503(__exit__)
       27    0.000    0.000    0.000    0.000 arraysetops.py:524(in1d)
       14    0.000    0.000    0.000    0.000 inspect.py:2368(_signature_from_function)
       42    0.000    0.000    0.000    0.000 callback.py:191(_update_history)
       41    0.000    0.000    0.000    0.000 common.py:1596(pandas_dtype)
      147    0.000    0.000    0.001    0.000 generic.py:6301(__setattr__)
        1    0.000    0.000    0.000    0.000 {built-in method catboost._catboost._check_train_params}
       84    0.000    0.000    0.000    0.000 validation.py:364(_num_samples)
        8    0.000    0.000    0.000    0.000 core.py:1291(feature_names)
      674    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
    33/12    0.000    0.000    0.011    0.001 _param_validation.py:182(wrapper)
      528    0.000    0.000    0.001    0.000 _array_api.py:334(get_namespace)
      132    0.000    0.000    0.000    0.000 core.py:1214(num_row)
        9    0.000    0.000    0.005    0.001 _classification.py:398(multilabel_confusion_matrix)
        1    0.000    0.000    0.000    0.000 basic.py:552(_get_all_param_aliases)
        4    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
      483    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1059    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      195    0.000    0.000    0.001    0.000 arraysetops.py:138(unique)
      369    0.000    0.000    0.000    0.000 _array_api.py:292(asarray)
        8    0.000    0.000    0.003    0.000 data.py:311(pandas_feature_info)
      801    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
      174    0.000    0.000    0.000    0.000 _param_validation.py:101(make_constraint)
       48    0.000    0.000    0.001    0.000 data.py:384(is_pd_sparse_dtype)
        1    0.000    0.000    0.000    0.000 basic.py:4260(model_to_string)
       42    0.000    0.000    0.007    0.000 callback.py:221(after_iteration)
      162    0.000    0.000    0.000    0.000 numerictypes.py:357(issubdtype)
      597    0.000    0.000    0.000    0.000 _config.py:24(_get_threadlocal_config)
      408    0.000    0.000    0.003    0.000 core.py:1991(feature_names)
      129    0.000    0.000    0.000    0.000 fromnumeric.py:71(_wrapreduction)
       43    0.000    0.000    0.002    0.000 data.py:345(is_nullable_dtype)
      195    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.007    0.001 data.py:474(_transform_pandas_df)
       84    0.000    0.000    0.000    0.000 base.py:836(__iter__)
        4    0.000    0.000    0.000    0.000 core.py:1751(__del__)
       30    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
       12    0.000    0.000    0.000    0.000 inspect.py:3119(_bind)
       42    0.000    0.000    0.000    0.000 callback.py:420(after_iteration)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       40    0.000    0.000    0.000    0.000 callback.py:368(minimize)
   132/96    0.000    0.000    0.000    0.000 _array_api.py:135(_isdtype_single)
       22    0.000    0.000    0.000    0.000 callback.py:395(__call__)
      654    0.000    0.000    0.000    0.000 _base.py:1513(issparse)
   135/19    0.000    0.000    0.000    0.000 copy.py:118(deepcopy)
     1266    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        5    0.000    0.000    0.000    0.000 data.py:1148(_meta_from_numpy)
      290    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       12    0.000    0.000    0.001    0.000 construction.py:237(ndarray_to_mgr)
       99    0.000    0.000    0.000    0.000 inspect.py:2729(__init__)
       41    0.000    0.000    0.000    0.000 __init__.py:396(__getitem__)
        9    0.000    0.000    0.009    0.001 _classification.py:1571(precision_recall_fscore_support)
       42    0.000    0.000    0.000    0.000 core.py:120(_parse_eval_str)
  158/156    0.000    0.000    0.001    0.000 {built-in method builtins.any}
       12    0.000    0.000    0.001    0.000 _param_validation.py:25(validate_parameter_constraints)
        8    0.000    0.000    0.000    0.000 base.py:5323(__contains__)
       61    0.000    0.000    0.000    0.000 generic.py:6284(__getattr__)
       27    0.000    0.000    0.000    0.000 _classification.py:1477(_prf_divide)
      585    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.012    0.012 models.py:84(get_meta_features_)
       69    0.000    0.000    0.002    0.000 validation.py:1309(column_or_1d)
     1062    0.000    0.000    0.000    0.000 __init__.py:470(_parse_letter_version)
      336    0.000    0.000    0.000    0.000 _array_api.py:111(_is_numpy_namespace)
     1116    0.000    0.000    0.000    0.000 core.py:270(_check_call)
      448    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x105d78988}
       44    0.000    0.000    0.000    0.000 managers.py:1863(from_array)
        2    0.000    0.000    0.024    0.012 training.py:51(train)
      324    0.000    0.000    0.000    0.000 numerictypes.py:283(issubclass_)
      577    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      195    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       35    0.000    0.000    0.000    0.000 generic.py:6236(__finalize__)
      138    0.000    0.000    0.002    0.000 core.py:2937(_validate_features)
      322    0.000    0.000    0.000    0.000 generic.py:42(_instancecheck)
      483    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      154    0.000    0.000    0.000    0.000 _dtype.py:330(_name_includes_bit_suffix)
       21    0.000    0.000    0.004    0.000 _classification.py:58(_check_targets)
       41    0.000    0.000    0.003    0.000 generic.py:6432(dtypes)
      225    0.000    0.000    0.000    0.000 validation.py:655(_ensure_no_complex_data)
      181    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       27    0.000    0.000    0.001    0.000 nanfunctions.py:952(nanmean)
       27    0.000    0.000    0.000    0.000 nanfunctions.py:68(_replace_nan)
        5    0.000    0.000    0.001    0.000 basic.py:784(_data_from_pandas)
      114    0.000    0.000    0.001    0.000 _array_api.py:306(unique_values)
